,game_id,speaker,source,voted_for,role,votes_target,winner
0,game7 - 62c4bc58-3776-4791-ac30-4c9ca5619503,kevin,Ego4D,jessica,Seer,jessica,Villagers
1,game7 - 62c4bc58-3776-4791-ac30-4c9ca5619503,kaelan,Ego4D,jessica,Center card,jessica,Villagers
2,game7 - 62c4bc58-3776-4791-ac30-4c9ca5619503,jessica,Ego4D,,Werewolf,jessica,Villagers
3,game7 - 62c4bc58-3776-4791-ac30-4c9ca5619503,daniel,Ego4D,daniel,Werewolf,jessica,Villagers
4,game9 - 62c4bc58-3776-4791-ac30-4c9ca5619503,kevin,Ego4D,,Troublemaker,None,Werewolves
5,game9 - 62c4bc58-3776-4791-ac30-4c9ca5619503,kaelan,Ego4D,,Robber,None,Werewolves
6,game9 - 62c4bc58-3776-4791-ac30-4c9ca5619503,jessica,Ego4D,,Werewolf,None,Werewolves
7,game9 - 62c4bc58-3776-4791-ac30-4c9ca5619503,daniel,Ego4D,,Doppleganger,None,Werewolves
8,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,kevin,Ego4D,,Minion,None,Werewolves
9,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,kaelan,Ego4D,,Villager,None,Werewolves
10,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,jessica,Ego4D,,Villager,None,Werewolves
11,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,daniel,Ego4D,,Werewolf,None,Werewolves
12,game11 - 62c4bc58-3776-4791-ac30-4c9ca5619503,kevin,Ego4D,jessica,Villager,None,Werewolves
13,game11 - 62c4bc58-3776-4791-ac30-4c9ca5619503,kaelan,Ego4D,kaelan,Villager,None,Werewolves
14,game11 - 62c4bc58-3776-4791-ac30-4c9ca5619503,jessica,Ego4D,,Minion,None,Werewolves
15,game11 - 62c4bc58-3776-4791-ac30-4c9ca5619503,daniel,Ego4D,,Werewolf,None,Werewolves
16,game6 - 2ba4023c-a8bf-43ad-ad5a-80ba222ce990,tyler,Ego4D,erin,Werewolf,None,Werewolves
17,game6 - 2ba4023c-a8bf-43ad-ad5a-80ba222ce990,margaret,Ego4D,clint,Robber,None,Werewolves
18,game6 - 2ba4023c-a8bf-43ad-ad5a-80ba222ce990,erin,Ego4D,clint,Drunk,None,Werewolves
19,game6 - 2ba4023c-a8bf-43ad-ad5a-80ba222ce990,clint,Ego4D,erin,Werewolf,None,Werewolves
20,game7 - 2ba4023c-a8bf-43ad-ad5a-80ba222ce990,tyler,Ego4D,margaret,Robber,erin,Werewolves
21,game7 - 2ba4023c-a8bf-43ad-ad5a-80ba222ce990,margaret,Ego4D,erin,Insomniac,erin,Werewolves
22,game7 - 2ba4023c-a8bf-43ad-ad5a-80ba222ce990,erin,Ego4D,erin,Hunter,erin,Werewolves
23,game7 - 2ba4023c-a8bf-43ad-ad5a-80ba222ce990,clint,Ego4D,clint,Werewolf,erin,Werewolves
24,game8 - 2ba4023c-a8bf-43ad-ad5a-80ba222ce990,tyler,Ego4D,clint,Werewolf,clint,Villagers
25,game8 - 2ba4023c-a8bf-43ad-ad5a-80ba222ce990,margaret,Ego4D,erin,Hunter,clint,Villagers
26,game8 - 2ba4023c-a8bf-43ad-ad5a-80ba222ce990,erin,Ego4D,tyler,Troublemaker,clint,Villagers
27,game8 - 2ba4023c-a8bf-43ad-ad5a-80ba222ce990,clint,Ego4D,clint,Werewolf,clint,Villagers
28,game9 - 2ba4023c-a8bf-43ad-ad5a-80ba222ce990,tyler,Ego4D,erin,Werewolf,tyler,Villagers
29,game9 - 2ba4023c-a8bf-43ad-ad5a-80ba222ce990,margaret,Ego4D,tyler,Hunter,tyler,Villagers
30,game9 - 2ba4023c-a8bf-43ad-ad5a-80ba222ce990,erin,Ego4D,tyler,Insomniac,tyler,Villagers
31,game9 - 2ba4023c-a8bf-43ad-ad5a-80ba222ce990,clint,Ego4D,clint,Robber,tyler,Villagers
32,game10 - 2ba4023c-a8bf-43ad-ad5a-80ba222ce990,tyler,Ego4D,erin,Werewolf,erin,Villagers
33,game10 - 2ba4023c-a8bf-43ad-ad5a-80ba222ce990,margaret,Ego4D,tyler,Robber,erin,Villagers
34,game10 - 2ba4023c-a8bf-43ad-ad5a-80ba222ce990,erin,Ego4D,erin,Werewolf,erin,Villagers
35,game10 - 2ba4023c-a8bf-43ad-ad5a-80ba222ce990,clint,Ego4D,clint,Tanner,erin,Villagers
36,game4 - 0c2659db-7bd4-4b37-9b08-4e247befe382,elliot,Ego4D,elliot,Tanner,None,Werewolves
37,game4 - 0c2659db-7bd4-4b37-9b08-4e247befe382,ashley,Ego4D,ashley,Werewolf,None,Werewolves
38,game4 - 0c2659db-7bd4-4b37-9b08-4e247befe382,james,Ego4D,sian,Insomniac,None,Werewolves
39,game4 - 0c2659db-7bd4-4b37-9b08-4e247befe382,chris,Ego4D,sian,Seer,None,Werewolves
40,game4 - 0c2659db-7bd4-4b37-9b08-4e247befe382,sukeshi,Ego4D,ashley,Werewolf,None,Werewolves
41,game4 - 0c2659db-7bd4-4b37-9b08-4e247befe382,sian,Ego4D,chris,Robber,None,Werewolves
42,game5 - 0c2659db-7bd4-4b37-9b08-4e247befe382,elliot,Ego4D,elliot,Seer,chris,Villagers
43,game5 - 0c2659db-7bd4-4b37-9b08-4e247befe382,ashley,Ego4D,chris,Werewolf,chris,Villagers
44,game5 - 0c2659db-7bd4-4b37-9b08-4e247befe382,james,Ego4D,chris,Doppelganger,chris,Villagers
45,game5 - 0c2659db-7bd4-4b37-9b08-4e247befe382,chris,Ego4D,sukeshi,Werewolf,chris,Villagers
46,game5 - 0c2659db-7bd4-4b37-9b08-4e247befe382,sukeshi,Ego4D,chris,Insomniac,chris,Villagers
47,game5 - 0c2659db-7bd4-4b37-9b08-4e247befe382,sian,Ego4D,chris,Villager,chris,Villagers
48,game6 - 0c2659db-7bd4-4b37-9b08-4e247befe382,elliot,Ego4D,james,Werewolf,sukeshi,Werewolves
49,game6 - 0c2659db-7bd4-4b37-9b08-4e247befe382,ashley,Ego4D,sukeshi,Robber,sukeshi,Werewolves
50,game6 - 0c2659db-7bd4-4b37-9b08-4e247befe382,james,Ego4D,sukeshi,Troublemaker,sukeshi,Werewolves
51,game6 - 0c2659db-7bd4-4b37-9b08-4e247befe382,chris,Ego4D,sukeshi,Seer,sukeshi,Werewolves
52,game6 - 0c2659db-7bd4-4b37-9b08-4e247befe382,sukeshi,Ego4D,sukeshi,Hunter,sukeshi,Werewolves
