Rec_Id,speaker,timestamp,utterance,annotation,source,utterance_length,Game_ID,voted_for,end_role,votes_target,winner
1,kaelan,00:54,I don't know why this is necessary considering saw the card.,No Strategy,Ego4D,11,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,,Villager,None,Werewolves
3,kaelan,01:05,I am a Villager.,Identity Declaration,Ego4D,4,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,,Villager,None,Werewolves
8,kaelan,01:25,"Like, I mean-",No Strategy,Ego4D,3,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,,Villager,None,Werewolves
11,kaelan,01:41,"But, I-I-I-I-",No Strategy,Ego4D,2,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,,Villager,None,Werewolves
13,kaelan,00:00,"Continue. Well, I guess we don't really need to, do we?",No Strategy,Ego4D,11,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,,Villager,None,Werewolves
19,kaelan,00:11,"I knew when he said yeah, I was-",No Strategy,Ego4D,8,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,,Villager,None,Werewolves
4,jessica,01:06,Same.,No Strategy,Ego4D,1,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,,Villager,None,Werewolves
6,jessica,01:17,What happens?,No Strategy,Ego4D,2,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,,Villager,None,Werewolves
17,jessica,00:11,"Oh, my God, are you serious?",No Strategy,Ego4D,6,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,,Villager,None,Werewolves
9,kevin,01:28,How can nobody raise their goddamn phones? Whatever.,No Strategy,Ego4D,8,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,,Minion,None,Werewolves
15,kevin,00:06,Yeah.,No Strategy,Ego4D,1,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,,Minion,None,Werewolves
7,hunter,00:30,"Oh, wait. You're supposed to do your action in that five seconds.",No Strategy,Ego4D,12,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
14,hunter,01:03,"I think I just checked my card, and I wasn't supposed to.",No Strategy,Ego4D,12,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
18,hunter,01:08,I heard cards sliding in on this area.,No Strategy,Ego4D,8,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
20,hunter,01:17,I think we should move bowls that way. I think all the cards should be like here.,No Strategy,Ego4D,17,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
26,hunter,01:28,We're learning. We've got this.,No Strategy,Ego4D,5,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
28,hunter,01:30,Okay.,No Strategy,Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
30,hunter,01:32,"I think we passed the first test, right?",Interrogation,Ego4D,8,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
34,hunter,01:38,It took us a little longer than he's supposed to.,No Strategy,Ego4D,10,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
37,hunter,01:49,"Yeah, probably.",No Strategy,Ego4D,2,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
38,hunter,01:50,"So, one of these two... Wait, it depends.",No Strategy,Ego4D,8,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
39,hunter,01:55,Which one when was the card sliding?,Interrogation,Ego4D,7,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
41,hunter,02:01,"Or was it, was that the robber?",Interrogation,Ego4D,7,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
43,hunter,02:07,"Okay. So, whoever is a troublemaker...",Call for Action,Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
44,hunter,02:13,"So, one of these two is not the werewolf.",Interrogation,Ego4D,9,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
46,hunter,02:16,I'm saying here.,No Strategy,Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
49,hunter,02:21,"No, well, we have two cards,",No Strategy,Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
51,hunter,02:24,"Two werewolf cards, one in there.",Evidence,Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
54,hunter,02:28,Correct.,No Strategy,Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
56,hunter,02:32,Okay. Wacky.,No Strategy,Ego4D,2,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
58,hunter,02:35,Interesting.,No Strategy,Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
65,hunter,02:59,"I've never had a card like this. Yeah. Because, I mean in Mafia or Town of Salem or something, you're trying to hunt somebody down.",No Strategy,Ego4D,25,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
66,hunter,03:10,"And you're not fucking with other people. Oh, sorry. I don't know if we're out of curse. I don't know if you're messing with other people's roles.",Accusation,Ego4D,27,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
67,hunter,03:16,"So, this is the first one.",No Strategy,Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
70,hunter,03:19,Very interesting.,No Strategy,Ego4D,2,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
73,hunter,03:24,You said that I'm not a villager.,Accusation,Ego4D,7,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
76,hunter,03:33,Yeah. If you insist.,No Strategy,Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
79,hunter,03:39,State your case.,Call for Action,Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
